edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
00174125,136307085,2016-06-30,"ДП ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ І ПРОЕКТНИЙ ІНСТИТУТ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""УКРНДІПРОЕКТ""","3142 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ПРОСПЕКТ АКАДЕМІКА ПАЛЛАДІНА, 46/2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00174668,NA,NA,"ПАТ ""ШАХТОУПРАВЛІННЯ ДОНБАС""","83059 М.ДОНЕЦЬК, БУДЬОНІВСЬКИЙ Р-Н,  БУДЬОНІВСЬКИЙ, КОРП. ДОНЕЦЬК",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00174697,NA,NA,"ДП ШАХТОУПРАВЛІННЯ ІМ ГАЗЕТИ ""ПРАВДА""","83034 М.ДОНЕЦЬК, ПРОЛЕТАРСЬКИЙ Р-Н, ВУЛИЦЯ КАШИРСЬКА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00174777,NA,NA,"ДВАТ ""ДОНЕЦЬКЕ УПРАВЛІННЯ КОМПЛЕКТУВАННЯ ТА МАТЕРІАЛЬНО-ТЕХНІЧНОГО ПОСТАЧАННЯ"" - ДОЧІРНЕ ПІДПРИЄМСТВО ДХК ""СПЕЦШАХТОБУРІННЯ""","ДОНЕЦЬКА ОБЛ., М.ДОНЕЦЬК, ВУЛ.МАГДЕБУРГСЬКА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,NA,в стані припинення
00174786,NA,NA,"ДП ""ШАХТА ""ПЕТРОВСЬКА""","83010 М.ДОНЕЦЬК, ПЕТРОВСЬКИЙ Р-Н, ВУЛИЦЯ ПЕТРОВСЬКОГО,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00174800,NA,NA,"ДОНЕЦЬКЕ ВИРОБНИЧЕ ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ДОНЕЦЬКВУГІЛЛЯ""","83055 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ УНІВЕРСИТЕТСЬКА, 20",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Діяльність головних управлінь (хед-офісів),в стані припинення
00175308,NA,NA,"ДП ШАХТА ""ГІРНИК"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СЕЛИДІВВУГІЛЛЯ""","85487 ДОНЕЦЬКА ОБЛ., М.СЕЛИДОВЕ, М.ГІРНИК, ВУЛИЦЯ ЦЕНТРАЛЬНА,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00175633,NA,NA,"""ШАХТА ЧЕРВОНИЙ ПРОФІНТЕРН"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ"" МІНІСТЕРСТВА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","86405 ДОНЕЦЬКА ОБЛ., М.ЄНАКІЄВЕ, ПРОСПЕКТ ГІРНИКІВ,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00175641,NA,NA,"ДП ""ШАХТА №3 ШАХТОУПРАВЛІННЯ ""ОЛЕКСАНДРІВСЬКЕ"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ""","86400 ДОНЕЦЬКА ОБЛ., М.ЄНАКІЄВЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00175685,NA,NA,"ШАХТА ""ЮНИЙ КОМУНАР"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""ОРДЖОНІКІДЗЕВУГІЛЛЯ"" МІНІСТЕРСТВА ПАЛИВА ТА ЕНЕРГЕТИКИ УКРАЇНИ","86493 ДОНЕЦЬКА ОБЛ., М.ЄНАКІЄВЕ, М.ЮНОКОМУНАРІВСЬК, ВУЛИЦЯ СУВОРОВА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00175716,NA,NA,"ДП ШАХТА ""ДОНЕЦЬКА""","86600 ДОНЕЦЬКА ОБЛ., М.ТОРЕЗ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00175739,NA,NA,"ДП ШАХТА ""СНІЖНЯНСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ, ВУЛИЦЯ МІЛІЦЕЙСЬКА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00175745,NA,NA,"ДП ШАХТА ""РЕМОВСКАЯ"" ВО ""ТОРЕЗАНТРАЦИТ""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ, ВУЛИЦЯ СТРУВЕ,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00175751,NA,NA,"ДП ШАХТА ВИРОБНИЧОГО ОБ""ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""-""СХІД""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00175768,NA,NA,"ДВАТ ШАХТА ""ЛЕНІНКА"" ДоП ДХК ""ЛУГАНСЬКВУГІЛЛЯ""","92040 ЛУГАНСЬКА ОБЛ., ЛУТУГИНСЬКИЙ Р-Н, С.ОРІХІВКА",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,NA,зареєстровано
00175774,NA,NA,"ДП ШАХТА ""МІУСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СНІЖНЕАНТРАЦИТ""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00175811,NA,NA,"ДП ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА ""СНІЖНЯНСЬКА""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ, СМТ ЗАЛІСНЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Агломерація кам'яного вугілля,зареєстровано
00175840,NA,NA,"ДП ШАХТА ""ЛІСОВА""","86600 ДОНЕЦЬКА ОБЛ., М.ТОРЕЗ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00176087,NA,NA,"ДП ШАХТОУПРАВЛІННЯ ""МОСКОВСЬКЕ"" ДЕРЖАВНОЇ ХОЛДІНГОВОЇ КОМПАНІЇ ""ШАХТАРСЬКАНТРАЦИТ""","86200 ДОНЕЦЬКА ОБЛ., М.ШАХТАРСЬК, СМТ КОНТАРНЕ, ВУЛИЦЯ ЦЕНТРАЛЬНА, 44",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00176408,NA,NA,"ВАТ ""ГОРЛІВСЬКИЙ ЗАВОД ""РЕММАШ""","ДОНЕЦЬКА ОБЛ., М.ГОРЛІВКА, ВУЛ. ВАВІЛОВА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Виробництво машин і устатковання для добувної промисловості та будівництва,припинено
00176516,NA,NA,"ДВАТ ""ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА ""МОСПИНСЬКА""","83492 ДОНЕЦЬКА ОБЛ., М.МОСПИНЕ, ВУЛИЦЯ ГРИШИНА, 1А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,NA,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00176644,NA,NA,"ДХК ""ДОНБАСВУГЛЕЗБАГАЧЕННЯ""","83000 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ ПОСТИШЕВА, 60",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,NA,порушено справу про банкрутство
00176785,NA,NA,"ДП ""ШАХТА ""НІКАНОР"" ПО ""ЛУГАНСЬКВУГІЛЛЯ""","94323 ЛУГАНСЬКА ОБЛ., ПЕРЕВАЛЬСЬКИЙ Р-Н, М.ЗОРИНСЬК, ВУЛИЦЯ КІРОВА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,зареєстровано
00176791,NA,NA,"ДП ""ШАХТА ""УКРАЇНА""","94303 ЛУГАНСЬКА ОБЛ., ПЕРЕВАЛЬСЬКИЙ Р-Н, М.ПЕРЕВАЛЬСЬК, ВУЛИЦЯ ОХОТСЬКА,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00176839,NA,NA,"ДП ""ШАХТА""СЛОВ'ЯНОСЕРБСЬКА""","93745 ЛУГАНСЬКА ОБЛ., СЛОВ'ЯНОСЕРБСЬКИЙ Р-Н, СМТ ЛОЗІВСЬКИЙ, ВУЛИЦЯ ЛЕНІНА,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00176868,NA,NA,"ДХК ""ЛУГАНСЬКВУГІЛЛЯ""","91055 М.ЛУГАНСЬК, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ЛЕРМОНТОВА, 1В",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,в стані припинення
00176897,NA,NA,"ПАТ ""ШАХТА ""БІЛОРІЧЕНСЬКА""","85300 ДОНЕЦЬКА ОБЛ., М.КРАСНОАРМІЙСЬК, ВУЛИЦЯ ДОБРОПІЛЬСЬКА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Добування кам'яного вугілля,зареєстровано
00176934,NA,NA,"ДВАТ ""СТАХАНОВСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""","94007 ЛУГАНСЬКА ОБЛ., М.СТАХАНОВ, ВУЛИЦЯ ТРАМВАЙНА, 38",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Виробництво гідравлічного та пневматичного устатковання,зареєстровано
00177081,NA,NA,"ДП ""ШАХТА ""БЕЖАНІВСЬКА""","93800 ЛУГАНСЬКА ОБЛ., М.КІРОВСЬК, ВУЛИЦЯ КОЛЬЦОВА,",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00177129,NA,NA,"ДП ШАХТА ""ЛУГАНСЬКА"" ВИРОБНИЧОГО ОБ'ЄДНАННЯ ПО ВИДОБУТКУ ВУГІЛЛЯ ""СТАХАНОВУГОЛЬ""","93890 ЛУГАНСЬКА ОБЛ., М.КІРОВСЬК, СМТ ДОНЕЦЬКИЙ, ВУЛИЦЯ МОСКОВСЬКА, 3",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00177632,NA,NA,"ДВАТ ""ВАХРУШЕВСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД"" - ДОЧІРНЄ ПІДПРИЄМСВО ДЕРЖАВНОЇ ХОЛДИНГОВОЇ КОМПАНІЇ ""АТРАЦИТВУГЛЕСЕРВІС""","94562 ЛУГАНСЬКА ОБЛ., М.КРАСНИЙ ЛУЧ, М.ВАХРУШЕВЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Виробництво машин і устатковання для добувної промисловості та будівництва,припинено
00178011,NA,NA,"ДП ШАХТА ІМЕНІ ВОЛОДАРСЬКОГО ВИРОБНИЧОГО ОБ'ЄДНАННЯ ""СВЕРДЛОВАНТРАЦИТ"" МІНІСТЕРСТВА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ","94822 ЛУГАНСЬКА ОБЛ., М.СВЕРДЛОВСЬК, СМТ ВОЛОДАРСЬК, ВУЛИЦЯ КОМСОМОЛЬСЬКА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00178028,NA,NA,"ДП ШАХТА ""ЛЕНИНСКАЯ"" ВО ""СВЕРДЛОВАНТРАЦИТ""","94835 ЛУГАНСЬКА ОБЛ., М.СВЕРДЛОВСЬК, СМТ ЛЕНІНСЬКЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Добування кам'яного вугілля,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
00178063,NA,NA,"ДВАТ ""ЦЕНТРАЛЬНА ЗБАГАЧУВАЛЬНА ФАБРИКА ""МАЯК""","94840 ЛУГАНСЬКА ОБЛ., М.СВЕРДЛОВСЬК, СМТ КАЛІНІНСЬКИЙ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Виробництво продуктів нафтоперероблення,припинено
00178136,NA,NA,"ДВАТ ШАХТА N 5 ""ВЕЛИКОМОСТІВСЬКА"" ЗАХ-УКРАЇНСЬКОЇ ДЕРЖАВНОЇ ВУГІЛЬНОЇ ХОЛДІНГОВОЇ КОМПАНІЇ","80085 ЛЬВІВСЬКА ОБЛ., СОКАЛЬСЬКИЙ Р-Н, С.ВОЛСВИН",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,NA,зареєстровано
00178175,211636416,2016-07-31,"ПАТ ""ШАХТА ""НАДІЯ""","80086 ЛЬВІВСЬКА ОБЛ., СОКАЛЬСЬКИЙ Р-Н, С.СІЛЕЦЬ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Добування кам'яного вугілля,зареєстровано
00178594,NA,NA,"ВАТ  ""ІЛЛІЧІВСЬКИЙ РУДОРЕМОНТНИЙ ЗАВОД""","ЛУГАНСЬКА ОБЛ.,М.СТАХАНОВ,ВУЛ.КОПЕРНІКА,БУД.24",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-09,ОРДЛО,Виробництво будівельних металевих конструкцій,порушено справу про банкрутство
00179000,231547638,2016-08-31,"ДП ""НОВОВОЛИНСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""","45400 ВОЛИНСЬКА ОБЛ., М.НОВОВОЛИНСЬК, ВУЛИЦЯ ШАХТАРСЬКА, 53",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-07,Волинська,Ремонт і технічне обслуговування машин і устатковання промислового призначення,зареєстровано
00179039,NA,NA,"ДП ""СНІЖНЯНСЬКІ ЦЕНТРАЛЬНІ ЕЛЕКТРОМЕХАНІЧНІ МАЙСТЕРНІ""","86500 ДОНЕЦЬКА ОБЛ., М.СНІЖНЕ, ПРОВУЛОК ВОРОШИЛОВГРАДСЬКИЙ, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Виробництво машин та устатковання для добувної промисловості й будівництва,в стані припинення
00179252,NA,NA,"ПАТ ""ВАНТАЖНО-ТРАНСПОРТНЕ УПРАВЛІННЯ ""ШАХТРАСЬКВАНТАЖТРАНС""","85323 ДОНЕЦЬКА ОБЛ., М.ДИМИТРОВ, ВУЛИЦЯ БАБУШКІНА, 16",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Допоміжне обслуговування наземного транспорту,зареєстровано
00179364,NA,NA,"ДВАТ ""СТАХАНОВПРОМТРАНС""","94002 ЛУГАНСЬКА ОБЛ., М.СТАХАНОВ, ВУЛИЦЯ ТЕПЛОВОЗНА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Вантажний залізничний транспорт,порушено справу про банкрутство (санація)
